corpus	lang	featspertokens	featsperlength	analysespertypes
UD_Slovenian-SST/sl_sst-ud-test.conllu	sl	4.1024	0.1559	1.0387
UD_Spanish-PUD/es_pud-ud-test.conllu	es	2.8295	0.1356	1.0389
UD_Swedish-PUD/sv_pud-ud-test.conllu	sv	3.7119	0.1185	1.0122
UD_Tagalog-TRG/tl_trg-ud-test.conllu	tl	1.3025	0.1472	1.0139
UD_Tamil-TTB/ta_ttb-ud-test.conllu	ta	4.4791	0.1129	1.0019
UD_Telugu-MTG/te_mtg-ud-test.conllu	te	1.0000	0.1426	1.0000
UD_Thai-PUD/th_pud-ud-test.conllu	th	1.0000	0.1645	1.0012
UD_Turkish-PUD/tr_pud-ud-test.conllu	tr	3.0292	0.1285	1.0637
UD_Ukrainian-IU/uk_iu-ud-test.conllu	uk	4.2738	0.1368	1.0524
UD_Upper_Sorbian-UFAL/hsb_ufal-ud-test.conllu	hsb	3.7077	0.1372	1.0681
UD_Urdu-UDTB/ur_udtb-ud-test.conllu	ur	3.9161	0.2689	1.3562
UD_Uyghur-UDT/ug_udt-ud-test.conllu	ug	1.6850	0.1294	1.0190
UD_Vietnamese-VTB/vi_vtb-ud-test.conllu	vi	1.0000	0.1698	1.0000
UD_Warlpiri-UFAL/wbp_ufal-ud-test.conllu	wbp	1.3807	0.1214	1.1325
UD_Yoruba-YTB/yo_ytb-ud-test.conllu	yo	1.0000	0.2422	1.0039
UD_Chukchi-Amguema/ckt_amguema-ud-test.conllu	ckt	4.9713	0.2617	1.0623
